结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-02-26 22:00:00.035797,222.50.124.26,NULL,hao123.com,广东铁通TOPn网站,0.26,42.89,44.54,598.41,1314.62,1574.61,1734.93,101.88,71.6,100.00,100.00,100.00,100.00,100.00,180.149.131.31,中国,北京, 电信,133.9,130.2,302,11,11
2013-02-26 22:00:02.558648,222.50.124.90,NULL,sohu.com,广东铁通TOPn网站,0.47,51.05,51.12,339.65,6668.03,8300.03,8714.99,55.97,56.9,100.00,95.45,100.00,95.45,100.00,61.135.181.175,中国,北京, 联通,373.2,352.0,302,50,66
2013-02-26 22:00:04.101244,123.89.176.38,NULL,https://play.google.com/store,网页类,0.57,347.39,324.38,788.62,5819.48,14337.51,16317.82,96.59,50.5,100.00,95.00,100.00,95.00,100.00,74.125.235.193,美国,NULL, 其它运营商,562.1,458.5,200,40,40
2013-02-26 22:00:04.750743,222.50.124.2,NULL,irs01.com,广东铁通TOPn网站,0.22,1.29,117.42,118.93,117.42,118.93,118.93,2.95,62.3,100.00,100.00,100.00,100.00,100.00,180.169.20.133,中国,上海, 电信,0.3,0.1,200,1,1
2013-02-26 22:00:04.965609,222.50.124.74,NULL,www.hexun.com,网页类,0.27,32.18,32.76,198.51,667.03,700.91,938.51,144.18,80.3,100.00,7.41,100.00,7.41,0.00,219.239.236.199,中国,北京, 电信,96.2,91.3,200,50,108
2013-02-26 22:00:09.189656,222.50.124.54,NULL,qpic.cn,广东铁通TOPn网站,0.44,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,112.90.139.50,中国,广东, 联通,NULL,NULL,400,1,1
2013-02-26 22:00:11.874171,222.50.124.2,NULL,qidian.com,广东铁通TOPn网站,0.26,1.26,107.94,975.76,14345.09,16546.24,25995.60,42.92,49.1,100.00,90.48,100.00,90.48,100.00,202.102.58.214,中国,江苏, 电信,615.7,599.4,301,42,42
2013-02-26 22:00:16.607822,222.50.124.58,NULL,www.pconline.com.cn,网页类,0.54,6.53,19.03,73.04,17304.11,20421.07,20767.99,41.82,49.6,100.00,100.00,100.00,100.00,100.00,210.21.118.120,中国,广东, 联通,723.7,696.4,200,50,60
2013-02-26 22:00:21.455659,222.50.124.42,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,0.46,28.35,155.04,242.48,1503.92,2134.16,2276.47,111.04,66.5,100.00,100.00,100.00,100.00,100.00,122.72.120.242,中国,中国NDC, 铁通,167.0,160.7,200,18,18
2013-02-26 22:00:23.733642,123.89.176.38,NULL,www.taobao.com,网页类,0.24,42.00,49.42,349.15,5992.02,11391.41,12042.97,173.22,76.6,100.00,100.00,100.00,100.00,100.00,122.72.14.251,中国,中国NDC, 铁通,1038.0,1530.6,200,50,106
2013-02-26 22:00:25.601578,222.50.124.2,NULL,www.qzone.qq.com,网页类,0.26,7.11,12.56,116.19,199.34,289.15,289.15,130.89,82.9,100.00,100.00,100.00,100.00,100.00,112.90.140.193,中国,广东, 联通,26.1,24.7,302,6,6
2013-02-26 22:00:31.427007,222.50.124.62,NULL,www.taobao.com,网页类,0.21,42.10,46.13,344.20,5724.10,7326.06,8783.83,181.24,77.4,100.00,100.00,100.00,100.00,100.00,122.72.14.251,中国,中国NDC, 铁通,1037.4,1530.1,200,50,106
2013-02-26 22:00:31.497057,222.50.124.86,NULL,www.skycn.com,下载类,0.51,1.23,136.97,342.56,7246.18,7001.70,7326.59,51.28,55.2,100.00,100.00,100.00,100.00,100.00,125.39.78.230,中国,天津, 联通,371.6,363.2,200,27,27
2013-02-26 22:00:34.146139,222.50.124.110,NULL,91dos.com,广东铁通TOPn网站,0.24,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,122.225.117.140,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:00:34.248882,222.50.124.54,NULL,china.com,广东铁通TOPn网站,0.48,129.91,138.03,1444.42,23861.98,40130.10,40839.06,43.41,33.8,100.00,98.97,100.00,97.94,0.00,221.194.139.60,中国,河北, 联通,1035.9,1089.1,200,50,97
2013-02-26 22:00:36.084291,222.50.124.94,NULL,www.tudou.com,网页类,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:00:36.254841,222.50.124.54,NULL,pagechoice.net,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:00:46.020438,222.50.124.2,NULL,zqlx.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:00:47.913778,222.50.124.70,NULL,1360.cn,广东铁通TOPn网站,0.46,29.26,29.96,3130.84,3064.94,3130.84,3130.84,0.40,56.9,100.00,66.67,100.00,66.67,0.00,58.68.151.179,中国,北京, 移动,1.2,0.7,302,3,3
2013-02-26 22:00:49.771024,222.50.124.50,NULL,digieq.com,广东铁通TOPn网站,0.45,NULL,NULL,NULL,73.50,142.11,142.11,35.75,NULL,100.00,50.00,0.00,50.00,0.00,219.232.240.148,中国,北京, 其它运营商,2.6,2.4,403,2,2
2013-02-26 22:01:03.479554,222.50.124.110,NULL,www.skycn.com,下载类,0.48,58.35,58.92,294.00,5219.53,6514.36,6924.61,71.27,58.5,100.00,100.00,100.00,100.00,100.00,125.39.78.230,中国,天津, 联通,372.0,363.5,200,28,28
2013-02-26 22:01:03.598410,222.50.124.130,NULL,www.apple.com,网页类,0.46,169.25,169.84,339.55,421.28,687.29,706.91,1142.11,81.0,100.00,100.00,100.00,100.00,100.00,23.2.109.15,美国,NULL, 其它运营商,481.2,469.6,200,31,31
2013-02-26 22:01:06.123184,222.50.124.94,NULL,www.gzmama.com,网页类,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:01:08.414112,222.50.124.26,NULL,taobao.com,广东铁通TOPn网站,0.48,33.37,33.03,352.92,4614.38,6969.28,7632.91,224.80,81.3,100.00,100.00,100.00,100.00,100.00,101.226.178.41,中国,上海, 电信,1037.3,1507.6,302,50,106
2013-02-26 22:01:12.349896,222.50.124.90,NULL,www.020.com,网页类,0.52,3.75,160.91,185.24,11083.14,11272.87,11398.49,92.19,54.8,100.00,100.00,100.00,100.00,100.00,120.31.61.171,中国,广东, 铁通,1021.8,1514.5,200,50,72
2013-02-26 22:01:13.654170,222.50.124.78,NULL,www.jiayuan.com,网页类,0.26,33.06,36.97,137.94,5038.19,7761.40,8019.32,33.41,54.2,100.00,94.29,100.00,94.29,100.00,59.151.18.32,中国,北京, 其它运营商,168.3,155.0,200,35,35
2013-02-26 22:01:21.824690,222.50.124.66,NULL,www.readnovel.com,网页类,0.53,59.65,60.94,182.91,3999.09,5193.33,5562.66,78.88,60.1,100.00,100.00,100.00,100.00,100.00,218.60.54.29,中国,辽宁, 联通,315.5,306.1,200,28,28
2013-02-26 22:01:23.456123,222.50.124.90,NULL,babytree.com,广东铁通TOPn网站,0.51,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,124.238.250.200,中国,河北, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:01:36.289109,222.50.124.74,NULL,www.readnovel.com,网页类,0.52,116.00,116.14,351.64,4827.29,9203.27,9849.07,65.38,52.3,100.00,100.00,100.00,100.00,100.00,218.60.54.22,中国,辽宁, 联通,315.6,306.2,200,28,28
