结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-26 22:00:01.454187,222.50.124.86,NULL,www.mail.qq.com,网页类,NULL,0.000,100,0,6.40,8.86,4.65,0.92,1.15,3.51,0.01,0.82,120.196.210.104,中国,广东, 移动
2013-02-26 22:00:02.440880,222.50.124.26,NULL,4399.com,广东铁通TOPn网站,NULL,0.000,100,0,38.83,39.66,38.66,0.12,0.11,0.95,0.00,0.15,115.182.52.231,中国,北京, 移动
2013-02-26 22:00:06.756515,222.50.124.2,NULL,yihaodian.com,广东铁通TOPn网站,NULL,0.000,100,0,30.43,31.74,30.02,0.32,0.28,1.14,0.00,0.26,222.73.105.82,中国,上海, 电信
2013-02-26 22:00:07.165539,222.50.124.90,NULL,xunlei.com,广东铁通TOPn网站,NULL,0.000,100,0,11.92,12.62,11.48,0.22,0.27,0.91,0.00,0.21,58.251.57.167,中国,广东, 其它运营商
2013-02-26 22:00:10.194009,222.50.124.50,NULL,www.sina.com.cn,网页类,NULL,0.000,100,0,42.52,43.41,42.29,0.20,0.19,0.94,0.00,0.21,211.98.132.67,中国,北京, 铁通
2013-02-26 22:00:23.087281,222.50.124.78,NULL,https://play.google.com/store,网页类,NULL,0.000,100,0,0.69,2.50,0.58,0.19,0.09,1.89,0.00,0.25,211.98.70.195,中国,湖南, 铁通
2013-02-26 22:00:23.122041,222.50.124.114,NULL,www.mail.qq.com,网页类,NULL,3.000,100,3,5.08,10.72,4.32,0.78,0.74,6.23,0.01,0.88,120.196.210.104,中国,广东, 移动
2013-02-26 22:00:28.607559,222.50.124.2,NULL,youdao.com,广东铁通TOPn网站,NULL,0.000,100,0,138.76,158.46,137.69,2.02,0.75,19.06,0.00,2.61,61.135.218.27,中国,北京, 联通
2013-02-26 22:00:34.778550,222.50.124.90,NULL,people.com.cn,广东铁通TOPn网站,NULL,2.000,100,2,43.66,50.92,42.79,1.09,0.72,7.85,0.00,1.42,123.235.32.74,中国,山东, 联通
2013-02-26 22:00:36.989024,222.50.124.90,NULL,126.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:00:37.867421,222.50.124.30,NULL,www.weibo.com,网页类,NULL,3.000,100,3,44.36,46.08,44.05,0.23,0.21,1.71,0.00,0.25,180.149.134.17,中国,北京, 电信
2013-02-26 22:00:45.565310,222.50.124.50,NULL,kaixin001.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.131.222.21,中国,北京, 其它运营商
2013-02-26 22:00:46.450654,123.89.176.30,NULL,www.readnovel.com,网页类,NULL,1.000,100,1,137.01,137.90,136.05,0.33,0.38,1.28,0.00,0.28,218.60.54.29,中国,辽宁, 联通
2013-02-26 22:00:48.312926,222.50.124.102,NULL,37wan.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,219.129.216.157,中国,广东, 电信
2013-02-26 22:00:50.618052,222.50.124.90,NULL,gtimg.com.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:00:53.181100,222.50.124.50,NULL,100bt.com,广东铁通TOPn网站,NULL,0.000,100,0,5.20,11.73,4.34,1.51,0.99,7.23,0.02,1.63,113.105.158.142,中国,广东, 电信
2013-02-26 22:00:56.184105,222.50.124.26,NULL,googleadsserving.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:00:58.519079,222.50.124.82,NULL,www.gzmama.com,网页类,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.248.62.30,中国,广东, 联通
2013-02-26 22:00:59.496181,222.50.124.26,NULL,soso.com,广东铁通TOPn网站,NULL,7.000,100,7,13.40,13.71,13.26,0.09,0.10,0.37,0.00,0.08,119.147.74.117,中国,广东, 电信
2013-02-26 22:01:04.025052,222.50.124.10,NULL,www.qzone.qq.com,网页类,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112.90.143.191,中国,广东, 联通
2013-02-26 22:01:09.684219,222.50.124.110,NULL,ifeng.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123.125.72.60,中国,北京, 联通
2013-02-26 22:01:11.639155,222.50.124.14,NULL,www.hl.cnc.cn,网页类,NULL,0.000,100,0,72.81,73.54,72.64,0.15,0.12,0.76,0.00,0.17,221.212.213.106,中国,黑龙江, 联通
2013-02-26 22:01:20.060012,222.50.124.82,NULL,www.pconline.com.cn,网页类,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,210.21.118.120,中国,广东, 联通
2013-02-26 22:01:27.571866,222.50.124.70,NULL,vipshop.com,广东铁通TOPn网站,NULL,0.000,100,0,27.83,28.36,27.67,0.14,0.14,0.67,0.00,0.15,180.186.22.30,中国,北京, 移动
2013-02-26 22:01:28.730528,222.50.124.62,NULL,www.mail.qq.com,网页类,NULL,3.000,100,3,6.61,8.29,4.88,0.87,0.82,3.10,0.01,0.68,120.196.210.104,中国,广东, 移动
2013-02-26 22:01:28.841869,222.50.124.46,NULL,www.skycn.com,下载类,NULL,0.000,100,0,64.93,65.73,64.49,0.28,0.28,1.21,0.01,0.25,125.39.78.230,中国,天津, 联通
2013-02-26 22:01:29.261565,222.50.124.90,NULL,imshell.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121.12.172.101,中国,广东, 电信
2013-02-26 22:01:33.096027,222.50.124.110,NULL,53kf.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,122.227.58.188,中国,浙江, 电信
2013-02-26 22:01:33.164923,222.50.124.2,NULL,kugou.com,广东铁通TOPn网站,NULL,0.000,100,0,12.56,12.84,12.44,0.08,0.08,0.33,0.00,0.07,113.106.27.252,中国,广东, 电信
2013-02-26 22:01:36.235028,222.50.124.50,NULL,liebao.cn,广东铁通TOPn网站,NULL,0.000,100,0,63.84,65.04,63.35,0.30,0.30,1.16,0.00,0.25,114.112.68.197,中国,江苏, 移动
2013-02-26 22:01:42.305471,123.89.176.30,NULL,www.qzone.qq.com,网页类,NULL,0.000,100,0,4.62,4.75,4.49,0.05,0.06,0.20,0.00,0.04,112.90.140.193,中国,广东, 联通
2013-02-26 22:01:42.982442,222.50.124.102,NULL,ss3w.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,205.178.189.129,美国,NULL, 其它运营商
2013-02-26 22:01:50.485708,222.50.124.42,NULL,www.readnovel.com,网页类,NULL,0.000,100,0,55.65,56.61,55.36,0.22,0.21,1.14,0.00,0.22,221.204.241.230,中国,山西, 联通
