结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-27 17:00:01.205468,sina.com.cn,222.50.124.102,NULL,sina.com.cn,sina.com.cn,广东铁通TOPn网站,NULL,0.000,100,0,55.86,56.15,55.74,0.07,0.07,0.38,0.00,0.07,202.108.33.60,中国,北京, 其它运营商
2013-02-27 17:00:01.510545,taomee.com,222.50.124.90,NULL,taomee.com,taomee.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114.80.99.112,中国,上海, 电信
2013-02-27 17:00:03.815562,pagechoice.net,222.50.124.90,NULL,pagechoice.net,pagechoice.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:00:07.058226,安卓商城官网,222.50.124.62,NULL,安卓商城官网,https://play.google.com/store,网页类,NULL,0.000,100,0,0.66,0.79,0.56,0.05,0.06,0.18,0.01,0.04,211.98.70.195,中国,湖南, 铁通
2013-02-27 17:00:16.145608,idreamsky.com,222.50.124.2,NULL,idreamsky.com,idreamsky.com,广东铁通TOPn网站,NULL,0.000,100,0,20.31,20.68,20.05,0.13,0.15,0.43,0.01,0.10,124.172.236.21,中国,广东, 铁通
2013-02-27 17:00:25.074531,digieq.com,222.50.124.26,NULL,digieq.com,digieq.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,219.232.240.148,中国,北京, 其它运营商
2013-02-27 17:00:28.704422,新浪,222.50.124.130,NULL,新浪,www.sina.com.cn,网页类,NULL,0.000,100,0,31.55,32.22,31.27,0.13,0.12,0.65,0.00,0.10,211.98.132.65,中国,北京, 铁通
2013-02-27 17:00:33.248890,ijinshan.com,222.50.124.110,NULL,ijinshan.com,ijinshan.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114.112.68.197,中国,江苏, 移动
2013-02-27 17:00:35.447273,flashget.com,222.50.124.70,NULL,flashget.com,flashget.com,广东铁通TOPn网站,NULL,4.000,100,4,63.33,65.83,59.76,1.28,1.32,4.71,0.04,1.10,221.123.176.106,中国,北京, 其它运营商
2013-02-27 17:00:37.585567,世纪佳缘,222.50.124.18,NULL,世纪佳缘,www.jiayuan.com,网页类,NULL,0.000,100,0,31.50,38.25,30.37,2.08,0.61,6.20,0.00,1.09,59.151.18.32,中国,北京, 其它运营商
