结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,路由变化,路由跳数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,丢包,发包数,丢包数,结果 IP 地址,结果国家名称,结果省名称,结果归属地,附加项
2013-02-26 22:00:10.662782,222.50.124.2,NULL,youku.com,广东铁通TOPn网站,18,20,11.19,57.90,0.63,20.94,0.39,0.84,0.00,0.31,70.000,60,42,123.126.99.31,中国,北京, 联通,20
2013-02-26 22:00:13.081397,222.50.124.2,NULL,wingdns.com,广东铁通TOPn网站,2,30,4.74,6.82,0.58,2.94,0.80,1.82,0.00,0.74,90.000,90,81,61.164.110.173,中国,浙江, 电信,30
2013-02-26 22:00:16.015693,222.50.124.110,NULL,gexing.com,广东铁通TOPn网站,8,30,2.92,25.53,0.61,4.45,1.89,35.83,0.00,6.99,0.000,90,0,122.225.115.203,中国,浙江, 电信,30
2013-02-26 22:00:16.080234,222.50.124.70,NULL,kaixin001.com,广东铁通TOPn网站,0,30,2.50,5.96,0.63,2.05,1.52,6.65,0.00,2.58,83.333,90,75,27.131.222.21,中国,北京, 其它运营商,30
2013-02-26 22:00:24.495392,222.50.124.2,NULL,paipai.com,广东铁通TOPn网站,21,16,5.00,16.52,0.71,5.59,0.94,4.50,0.00,1.60,62.500,48,30,58.251.150.244,中国,广东, 联通,16
2013-02-26 22:00:30.714542,222.50.124.50,NULL,126.com,广东铁通TOPn网站,2,19,40.04,124.50,0.54,38.71,8.69,116.70,0.00,28.90,19.298,57,11,220.181.12.218,中国,北京, 其它运营商,19
2013-02-26 22:00:34.502851,222.50.124.86,NULL,www.jiayuan.com,网页类,0,10,24.48,37.74,0.59,14.36,1.02,3.65,0.00,1.08,0.000,30,0,59.151.18.32,中国,北京, 其它运营商,10
2013-02-26 22:00:42.060411,222.50.124.58,NULL,www.sina.com.cn,网页类,4,7,21.10,37.76,0.59,16.11,0.60,1.93,0.00,0.62,0.000,21,0,211.98.132.66,中国,北京, 铁通,7
2013-02-26 22:00:42.294624,222.50.124.90,NULL,twsapp.com,广东铁通TOPn网站,0,5,1.95,6.98,0.58,2.52,0.28,1.24,0.00,0.48,0.000,15,0,211.98.70.195,中国,湖南, 铁通,5
2013-02-26 22:00:43.673806,222.50.124.26,NULL,xcar.com.cn,广东铁通TOPn网站,0,19,15.43,62.25,0.55,23.28,15.30,121.00,0.00,39.95,59.649,57,34,118.67.112.72,中国,北京, 其它运营商,19
2013-02-26 22:00:46.207845,222.50.124.94,NULL,www.huanqiu.com,网页类,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,0.0.0.0,NULL,NULL,NULL,0
2013-02-26 22:00:46.956358,222.50.124.114,NULL,www.pconline.com.cn,网页类,0,13,4.05,9.81,0.64,3.88,0.26,0.68,0.00,0.23,61.538,39,24,210.21.118.120,中国,广东, 联通,13
2013-02-26 22:00:56.570200,222.50.124.110,NULL,www.cctv.com,网页类,0,11,20.22,43.74,0.59,19.90,0.85,5.79,0.00,1.71,0.000,33,0,122.70.142.160,中国,北京, 铁通,11
2013-02-26 22:01:01.831262,222.50.124.70,NULL,9160.com,广东铁通TOPn网站,0,30,2.72,20.91,0.58,3.69,2.12,53.81,0.00,9.65,0.000,90,0,115.236.185.6,中国,浙江, 电信,30
2013-02-26 22:01:02.344020,222.50.124.86,NULL,www.icbc.com.cn,网页类,0,30,5.00,10.20,0.60,3.96,1.91,3.66,0.00,1.48,90.000,90,81,113.31.42.29,中国,北京, 其它运营商,30
2013-02-26 22:01:04.804703,222.50.124.50,NULL,www.cctv.com,网页类,0,11,23.87,43.00,0.59,19.96,0.39,3.19,0.00,0.89,0.000,33,0,122.70.142.160,中国,北京, 铁通,11
2013-02-26 22:01:06.702698,222.50.124.26,NULL,wingdns.com,广东铁通TOPn网站,0,20,4.60,22.91,0.55,7.08,0.68,3.89,0.00,1.33,63.333,60,38,61.164.110.173,中国,浙江, 电信,20
2013-02-26 22:01:08.137761,222.50.124.90,NULL,7k7k.com,广东铁通TOPn网站,0,13,27.08,38.72,0.58,12.94,0.20,0.69,0.00,0.24,0.000,39,0,115.182.59.33,中国,北京, 移动,13
2013-02-26 22:01:09.721446,222.50.124.46,NULL,www.icbc.com.cn,网页类,0,17,54.24,121.61,0.58,53.42,0.52,2.75,0.00,0.79,7.843,51,4,125.39.39.42,中国,天津, 联通,17
2013-02-26 22:01:13.045757,222.50.124.2,NULL,www.skycn.com,下载类,0,19,14.30,64.92,0.58,22.98,1.22,6.11,0.00,2.20,68.421,57,39,125.39.78.230,中国,天津, 联通,19
2013-02-26 22:01:17.353074,222.50.124.2,NULL,www.weibo.com,网页类,0,30,4.68,12.19,0.61,5.32,0.41,0.82,0.00,0.30,90.000,90,81,180.149.134.17,中国,北京, 电信,30
2013-02-26 22:01:26.036871,222.50.124.46,NULL,www.taobao.com,网页类,5,8,20.05,37.60,0.65,13.71,2.48,10.63,0.00,3.68,12.500,24,3,122.72.35.251,中国,中国NDC, 铁通,8
2013-02-26 22:01:30.678814,222.50.124.70,NULL,ijinshan.com,广东铁通TOPn网站,1,22,29.38,68.14,0.63,26.21,1.46,11.22,0.00,2.31,15.152,66,10,114.112.68.197,中国,江苏, 移动,22
2013-02-26 22:01:32.659403,222.50.124.2,NULL,tianya.cn,广东铁通TOPn网站,0,18,23.36,121.25,0.56,43.96,1.85,6.49,0.00,2.50,66.667,54,36,221.11.172.222,中国,海南, 联通,18
2013-02-26 22:01:36.276825,222.50.124.90,NULL,9160.com,广东铁通TOPn网站,0,30,2.01,10.55,0.60,1.69,0.17,1.99,0.00,0.35,0.000,90,0,115.236.185.6,中国,浙江, 电信,30
2013-02-26 22:01:41.095818,110.209.253.254,NULL,www.163.com,网页类,2,12,29.92,58.81,0.59,21.88,7.37,25.67,0.00,7.64,8.333,36,3,223.87.1.59,中国,四川, 移动,12
2013-02-26 22:01:43.213407,123.89.176.30,NULL,www.poco.cn,网页类,5,19,25.70,141.69,0.93,51.92,1.74,6.72,0.00,2.31,68.421,57,39,124.95.150.158,中国,辽宁, 联通,19
2013-02-26 22:01:43.344888,222.50.124.50,NULL,adwo.com,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,111.114.100.101,中国,陕西, 其它运营商,0
2013-02-26 22:01:44.151544,222.50.124.50,NULL,kuaibo.com,广东铁通TOPn网站,0,21,117.95,724.78,0.65,164.48,47.47,774.41,0.00,181.77,25.397,63,16,175.6.0.102,中国,湖南, 电信,21
2013-02-26 22:01:48.425686,222.50.124.110,NULL,91dos.com,广东铁通TOPn网站,0,30,2.05,11.86,0.56,1.91,0.12,0.81,0.00,0.16,0.000,90,0,122.225.117.140,中国,浙江, 电信,30
2013-02-26 22:01:54.106387,222.50.124.2,NULL,soufun.com,广东铁通TOPn网站,0,18,26.74,132.57,0.86,47.65,4.09,22.59,0.00,8.27,66.667,54,36,202.108.253.57,中国,北京, 联通,18
2013-02-26 22:01:54.504886,222.50.124.102,NULL,www.hexun.com,网页类,6,13,25.83,37.59,0.64,12.41,0.95,5.87,0.00,1.92,0.000,39,0,219.239.236.199,中国,北京, 电信,13
2013-02-26 22:02:02.511852,222.50.124.70,NULL,www.163.com,网页类,0,12,32.79,68.28,0.61,22.93,5.51,42.31,0.00,11.73,8.333,36,3,223.87.1.59,中国,四川, 移动,12
2013-02-26 22:02:06.498875,222.50.124.26,NULL,kuaiwan.com,广东铁通TOPn网站,0,18,7.32,38.81,0.57,12.43,0.41,1.67,0.00,0.57,57.407,54,31,122.225.115.167,中国,浙江, 电信,18
2013-02-26 22:02:07.938152,123.89.176.38,NULL,www.mail.qq.com,网页类,4,12,12.27,63.74,0.58,16.71,7.60,62.03,0.00,16.95,2.778,36,1,120.196.210.104,中国,广东, 移动,12
2013-02-26 22:02:19.796915,222.50.124.50,NULL,irs01.com,广东铁通TOPn网站,7,22,57.14,116.90,0.60,46.78,1.35,7.84,0.00,1.89,15.152,66,10,180.169.20.75,中国,上海, 电信,22
2013-02-26 22:02:20.236145,110.209.253.254,NULL,www.kankan.com,网页类,0,5,7.14,17.46,0.62,6.48,4.04,17.67,0.00,6.87,0.000,15,0,61.235.96.93,中国,广东, 铁通,5
2013-02-26 22:02:21.151361,222.50.124.14,NULL,www.icbc.com.cn,网页类,19,21,27.38,150.21,0.61,54.97,1.31,5.46,0.00,1.97,71.429,63,45,113.31.42.29,中国,北京, 其它运营商,21
2013-02-26 22:02:34.689913,222.50.124.110,NULL,hexun.com,广东铁通TOPn网站,0,30,2.72,10.92,0.58,2.60,0.57,9.72,0.00,1.85,0.000,90,0,59.173.14.2,中国,湖北, 电信,30
2013-02-26 22:02:36.877083,222.50.124.14,NULL,www.readnovel.com,网页类,3,18,11.03,55.60,0.55,19.99,0.95,3.03,0.00,1.24,66.667,54,36,221.204.241.230,中国,山西, 联通,18
2013-02-26 22:02:38.467371,222.50.124.90,NULL,www.readnovel.com,网页类,5,18,11.64,56.97,0.66,20.43,0.59,2.28,0.00,0.81,66.667,54,36,221.204.241.230,中国,山西, 联通,18
2013-02-26 22:02:41.683650,222.50.124.14,NULL,www.mail.qq.com,网页类,4,11,9.79,40.41,0.60,12.08,5.21,35.90,0.00,10.94,15.152,33,5,120.196.210.104,中国,广东, 移动,11
2013-02-26 22:02:43.061424,222.50.124.70,NULL,ip138.com,广东铁通TOPn网站,0,9,24.37,37.34,0.61,14.83,0.20,1.12,0.00,0.33,0.000,27,0,122.70.142.161,中国,北京, 铁通,9
