结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,路由变化,路由跳数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,丢包,发包数,丢包数,结果 IP 地址,结果国家名称,结果省名称,结果归属地,附加项
2013-02-27 17:00:07.862930,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,2nike.org,2nike.org,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,0.0.0.0,NULL,NULL,NULL,0
2013-02-27 17:00:09.455822,广东铁通4-gzdx02(gzhy)电信出口,222.50.124.38,NULL,土豆网,www.tudou.com,网页类,12,18,54.74,108.98,0.35,44.78,1.60,8.36,0.00,1.97,16.667,54,9,123.126.98.146,中国,北京, 联通,18
2013-02-27 17:00:10.619090,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,miercn.com,miercn.com,广东铁通TOPn网站,29,30,2.24,6.45,0.59,1.30,0.57,7.77,0.00,1.49,0.000,90,0,125.77.197.86,中国,福建, 电信,30
2013-02-27 17:00:12.139881,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,yoyi.com.cn,yoyi.com.cn,广东铁通TOPn网站,0,30,2.85,9.57,0.56,3.39,1.08,3.65,0.00,1.40,83.333,90,75,116.213.196.90,中国,北京, 其它运营商,30
2013-02-27 17:00:16.230160,广东铁通5-gzlt(asd)联通出口,123.89.176.38,NULL,cctv,www.cctv.com,网页类,11,12,26.26,43.09,0.58,18.39,8.07,80.72,0.00,23.01,8.333,36,3,223.87.1.59,中国,四川, 移动,12
2013-02-27 17:00:26.273427,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,guosen.cn,guosen.cn,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,68.0.0.0,美国,NULL, 其它运营商,0
2013-02-27 17:00:28.336027,广东铁通2-gzlt02(gzhy)联通出口,222.50.124.74,NULL,网易,www.163.com,网页类,4,12,23.93,44.46,0.62,19.26,1.89,15.38,0.00,4.32,8.333,36,3,223.87.1.58,中国,四川, 移动,12
2013-02-27 17:00:34.380199,广东铁通2-hzdx01(hyhr)电信出口,222.50.124.6,NULL,环球网,www.huanqiu.com,网页类,0,20,13.00,67.94,0.57,24.65,0.71,2.18,0.00,0.94,70.000,60,42,113.31.42.20,中国,北京, 其它运营商,20
2013-02-27 17:00:36.511606,广东铁通4-hazlt01(lzk)联通出口,222.50.124.62,NULL,QQ空间,www.qzone.qq.com,网页类,25,30,5.61,15.26,0.56,5.97,4.39,20.27,0.00,7.96,83.333,90,75,112.90.143.191,中国,广东, 联通,30
2013-02-27 17:00:36.949277,广东铁通2-huzlt02(bjdx)联通出口,222.50.124.94,NULL,糗事百科,www.qiushibaike.com,网页类,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,0.0.0.0,NULL,NULL,NULL,0
