结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首帧时间,总缓冲时间,首缓冲时间,平均缓冲比,缓冲次数,播放时长,下载时间,吞吐率,播放速率,解析成功率,再缓冲率,连接成功率,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项
2013-02-26 22:00:51.576781,222.50.124.54,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,214.70,0.47,19.81,3.68,122.04,122.04,0.41,1.0,30.00,4849.81,3052.80,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:00:55.079380,222.50.124.46,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:01:00.324068,222.50.124.82,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:05:08.162296,222.50.124.6,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:05:26.079661,222.50.124.94,NULL,http://data.movie.kankan.com/movie/68445,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,NULL,NULL,1
2013-02-26 22:07:24.064923,222.50.124.62,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:07:32.156961,222.50.124.110,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,239.40,0.48,10.69,3.56,139.33,139.33,0.46,1.0,30.00,3724.13,3975.56,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:07:33.521543,222.50.124.46,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,241.31,0.82,1.69,4.11,338.46,338.46,1.13,1.0,30.00,1813.68,8163.27,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:07:36.399953,222.50.124.78,NULL,http://data.movie.kankan.com/movie/68445,视频类,0.41,2.97,11.91,NULL,NULL,NULL,NULL,NULL,0.00,29.07,4603.05,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-26 22:12:30.273794,222.50.124.90,NULL,222.50.124.118,NULL,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,100.00,NULL,0.00,0.00,222.50.124.118,中国,广东, 铁通,0.0,NULL,NULL,1
2013-02-26 22:12:33.971408,222.50.124.14,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:14:00.220730,222.50.124.62,NULL,http://data.movie.kankan.com/movie/68445,视频类,0.25,2.94,7.92,NULL,NULL,NULL,NULL,NULL,0.00,24.08,5557.58,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-26 22:14:09.186473,222.50.124.34,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:14:13.711376,222.50.124.78,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
