结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首帧时间,总缓冲时间,首缓冲时间,平均缓冲比,缓冲次数,播放时长,下载时间,吞吐率,播放速率,解析成功率,再缓冲率,连接成功率,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项
2013-02-27 17:00:20.678715,土豆视频,222.50.124.50,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:00:29.080986,迅雷看看,222.50.124.42,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.53,2.95,7.11,NULL,NULL,NULL,NULL,NULL,0.00,23.31,5741.18,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:00:36.359581,优酷视频,222.50.124.74,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,185.35,0.47,1.66,3.54,39.91,39.91,0.13,1.0,30.00,1500.26,9868.67,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:03:04.828437,土豆视频,123.89.176.30,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:04:42.552633,土豆视频,222.50.124.2,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:05:09.412704,土豆视频,222.50.124.94,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:06:59.202616,优酷视频,222.50.124.62,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,202.52,0.23,12.46,3.23,37.33,37.33,0.12,1.0,30.00,1636.33,9048.02,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:07:06.647604,土豆视频,222.50.124.42,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:07:11.533919,迅雷看看,222.50.124.70,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.56,2.88,13.77,NULL,NULL,NULL,NULL,NULL,0.00,29.69,4507.74,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:11:01.170622,土豆视频,123.89.176.38,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:12:05.008953,迅雷看看,222.50.124.106,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.26,2.72,16.06,NULL,NULL,NULL,NULL,NULL,0.00,32.20,4155.81,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:12:09.194536,土豆视频,222.50.124.18,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:13:36.018280,优酷视频,222.50.124.58,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,190.06,0.22,2.17,3.48,39.41,39.41,0.13,1.0,30.00,1607.94,9207.73,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:13:43.539591,土豆视频,222.50.124.38,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:13:50.443260,优酷视频,222.50.124.78,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,210.93,0.53,1.78,3.23,30.99,30.99,0.10,1.0,30.00,1569.65,9432.36,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
