2013-02-19 09:18:05 |广东铁通1-zsdx01(ncda)  |电信        |babytree.com                  |518.559             |19772.188           |79.93066406         |99.20634921         |100.0               |124.238.250.204     |河北        |电信        
2013-02-19 09:18:03 |广东铁通1-huzlt01(bjdx) |联通        |so.com                        |279.728             |1730.583            |73.56347656         |100.0               |100.0               |182.118.31.240      |河南        |联通        
2013-02-19 09:17:58 |广东铁通3-hazlt01(bjdx) |联通        |黑龙江联通                         |156.318             |156.318             |5.0234375           |100.0               |100.0               |221.212.213.106     |黑龙江       |联通        
2013-02-19 09:17:24 |广东铁通1-fsrj01(dx)    |电信        |53kf.com                      |552.757             |11790.352           |74.421875           |100.0               |100.0               |122.227.58.188      |浙江        |电信        
2013-02-19 09:17:18 |广东铁通1-zsdx01(ncda)  |电信        |100bt.com                     |408.329             |3215.991            |407.5263672         |100.0               |100.0               |113.105.158.142     |广东        |电信        
2013-02-19 09:17:11 |广东铁通1-zsdx01(ncda)  |电信        |uusee.com                     |296.965             |13052.754           |133.9580078         |94.94949495         |100.0               |221.238.29.196      |天津        |电信        
2013-02-19 09:16:43 |广东铁通1-fsrj01(dx)    |电信        |taomee.com                    |320.006             |32591.256           |3.59375             |100.0               |100.0               |114.80.99.112       |上海        |电信        
2013-02-19 09:16:31 |广东铁通1-fsrj01(dx)    |电信        |imshell.com                   |231.233             |231.233             |3.744140625         |100.0               |100.0               |121.12.172.101      |广东        |电信        
2013-02-19 09:16:27 |广东铁通2-zhdx01(hxtl)  |电信        |37wan.com                     |188.599             |2776.032            |331.7382812         |100.0               |100.0               |219.129.216.157     |广东        |电信        
2013-02-19 09:16:20 |广东铁通3-qylt01(gzhy)  |联通        |QQ空间                          |19.314              |173.241             |247.5136719         |100.0               |100.0               |112.90.140.193      |广东        |联通        
2013-02-19 09:16:10 |广东铁通1-fsrj01(dx)    |电信        |91.com                        |-                   |-                   |-                   |0.0                 |0.0                 |121.207.254.112     |福建        |电信        
2013-02-19 09:15:53 |广东铁通1-huzlt01(bjdx) |联通        |sohu.com.cn                   |364.382             |6119.347            |98.30175781         |98.50746269         |100.0               |61.135.181.175      |北京        |联通        
2013-02-19 09:15:49 |广东铁通1-asddx(mzzy)   |电信        |eastmoney.com                 |381.418             |5606.44             |63.93847656         |97.87234043         |100.0               |222.73.55.186       |上海        |电信        
2013-02-19 09:15:47 |广东铁通1-fsrj01(dx)    |电信        |37wan.com                     |178.553             |1011.773            |303.0019531         |81.81818182         |100.0               |219.129.216.157     |广东        |电信        
2013-02-19 09:15:43 |广东铁通1-gzlt01(gzhy)  |联通        |环球网                           |267.891             |3998.79             |90.796875           |77.77777778         |100.0               |125.39.187.20       |天津        |联通        
2013-02-19 09:15:32 |广东铁通1-huzlt01(bjdx) |联通        |天空软件站                         |447.891             |7521.941            |50.28125            |100.0               |100.0               |125.39.78.230       |天津        |联通        
2013-02-19 09:15:14 |广东铁通2-zhdx01(hxtl)  |电信        |miercn.com                    |236.604             |10235.01            |122.5683594         |100.0               |100.0               |59.57.13.196        |福建        |电信        
2013-02-19 09:15:05 |广东铁通3-huzlt03(bjdx) |联通        |太平洋电脑网                        |95.753              |3135.954            |355.2470703         |100.0               |100.0               |210.21.118.120      |广东        |联通        
2013-02-19 09:14:58 |广东铁通1-gzlt01(gzhy)  |联通        |qiyi.com                      |324.766             |1362.134            |332.8935547         |100.0               |100.0               |202.108.14.55       |北京        |联通        
2013-02-19 09:14:51 |广东铁通2-zhdx01(hxtl)  |电信        |weibo.com                     |109.59              |988.072             |145.8427734         |100.0               |100.0               |180.149.134.17      |北京        |电信        
2013-02-19 09:14:33 |广东铁通2-gzlt02(gzhy)  |联通        |poco                          |367.381             |17831.378           |83.70019531         |100.0               |100.0               |218.59.209.163      |山东        |联通        
2013-02-19 09:14:28 |广东铁通1-zsdx01(ncda)  |电信        |yngxxx.com                    |-                   |-                   |-                   |0.0                 |0.0                 |113.107.108.37      |广东        |电信        
2013-02-19 09:14:17 |广东铁通1-gzlt01(shrs)  |联通        |tom.com                       |372.674             |7277.472            |118.0654297         |100.0               |100.0               |202.108.12.62       |北京        |联通        
