2013-02-19 09:17:22 |广东铁通6-gddx(bgp)     |联通        |cctv                          |119.494             |119.494             |6.642578125         |100.0               |100.0               |223.87.1.59         |四川        |移动        
2013-02-19 09:17:03 |广东铁通6-gddx(bgp)     |联通        |微博                            |91.592              |1117.3              |124.3144531         |100.0               |100.0               |180.149.134.17      |北京        |电信        
2013-02-19 09:07:42 |广东铁通6-gddx(bgp)     |联通        |苹果官网                          |319.33              |614.355             |1162.496094         |100.0               |100.0               |23.2.141.15         |美国        |其它运营商     
2013-02-19 09:03:37 |广东铁通6-gddx(bgp)     |联通        |小说阅读网                         |502.205             |4020.339            |108.1113281         |100.0               |100.0               |60.210.23.74        |山东        |联通        
2013-02-19 08:51:25 |广东铁通6-gddx(bgp)     |联通        |华军软件园                         |246.431             |19304.803           |86.9765625          |100.0               |100.0               |221.130.12.62       |江苏        |移动        
2013-02-19 08:48:59 |广东铁通6-gddx(bgp)     |联通        |土豆网                           |303.603             |18459.929           |129.6152344         |100.0               |100.0               |123.126.98.147      |北京        |联通        
2013-02-19 08:45:22 |广东铁通6-gddx(bgp)     |联通        |优酷                            |176.642             |8662.763            |149.0039062         |98.7654321          |100.0               |122.72.120.241      |中国NDC     |铁通        
2013-02-19 08:44:13 |广东铁通6-gddx(bgp)     |联通        |迅雷看看                          |71.271              |1454.361            |546.3300781         |100.0               |100.0               |61.235.96.93        |广东        |铁通        
2013-02-19 08:37:10 |广东铁通6-gddx(bgp)     |联通        |新浪                            |267.09              |14522.397           |88.30859375         |100.0               |100.0               |211.98.132.67       |北京        |铁通        
2013-02-19 08:26:55 |广东铁通6-gddx(bgp)     |联通        |太平洋电脑网                        |61.781              |1011.817            |948.5683594         |100.0               |100.0               |210.21.118.120      |广东        |联通        
2013-02-19 08:18:28 |广东铁通6-gddx(bgp)     |联通        |poco                          |226.375             |15181.876           |100.7724609         |100.0               |100.0               |123.235.33.5        |山东        |联通        
2013-02-19 08:16:32 |广东铁通6-gddx(bgp)     |联通        |糗事百科                          |167.218             |2553.892            |220.2431641         |100.0               |100.0               |183.203.15.209      |山西        |移动        
2013-02-19 08:04:44 |广东铁通6-gddx(bgp)     |联通        |工商银行                          |107.503             |326.214             |32.66210938         |100.0               |100.0               |113.31.42.29        |北京        |其它运营商     
2013-02-19 08:04:23 |广东铁通6-gddx(bgp)     |联通        |QQ空间                          |16.644              |87.783              |555.4228516         |100.0               |100.0               |112.90.143.191      |广东        |联通        
2013-02-19 08:00:32 |广东铁通6-gddx(bgp)     |联通        |安卓商城官网                        |2507.271            |18220.622           |77.43652344         |95.0                |100.0               |74.125.235.194      |美国        |其它运营商     
2013-02-19 07:57:33 |广东铁通6-gddx(bgp)     |联通        |环球网                           |220.983             |4261.718            |108.5283203         |100.0               |100.0               |125.39.187.20       |天津        |联通        
2013-02-19 07:56:54 |广东铁通6-gddx(bgp)     |联通        |淘宝网                           |272.365             |7294.275            |237.9814453         |100.0               |100.0               |122.72.3.241        |中国NDC     |铁通        
2013-02-19 07:53:21 |广东铁通6-gddx(bgp)     |联通        |优酷视频                          |204.205             |1815.504            |124.2373047         |100.0               |100.0               |122.72.120.242      |中国NDC     |铁通        
